id,trans
filename,scene_evt220228_cp6_q1_s10
translator,灯泡马
info,scene_evt220228_cp6_q1_s10
111,不管怎么说，这些星晶兽\n是些我们无法理解的怪物。
110,这说不定还是真的。
109,你这话怪吓人的，可快打住！
108,说不定，\n这风就是星晶兽吹的？
107,我还从未见到过。\n莫非现在星晶兽还村挨着？
106,不止操风，\n这些星晶兽全是些有着\n不可思议力量的家伙。
105,曾经还有过这么恐怖的东西啊。
104,星晶兽是那些<span class='scene-font-spword'>星之民</span>操纵\n的兵器？
103,我爷爷在战场上战斗过的星晶兽\n据说是能够自由操纵\n群风的家伙。
102,你爷爷参加过霸空战争吧。
101,我在开始做骑空士之时，\n经常被爷爷教导\n要当心暴风雨。
100,当然。
99,就算是勇敢的骑空士，\n也抵御不了恐怖的暴风雨。
94,惠风之地波特普利兹聚集了\n数不清的骑空团，\n因成为交易中心而繁荣起来。
93,其中，以各地骑空艇\n为中心组建骑空团为最。
87,从星之民支配下逃脱的空之民\n无限制地使用被剩下来的\n星之技术。
86,在这暴风雨中行驶，\n还是有点勉强。
85,好不容易能够\n好好驾驶骑空艇了……
84,当下天气正糟着。\n我们也很头疼啊……
83,那骑空艇暂时\n是动不了了吧……
82,接着──
77,不知不觉，不断拂过群岛间的微风，\n变成了波特普利兹人们\n不可或缺的一部分。
76,────！
75,但是，被风吹拂过后人们的笑颜，\n让她感受到了迄今为止\n都从未感受过的温暖。
74,对她来说，这不过等同于呼吸。
73,啊，好舒服的风。
72,呀呀！
71,────
70,她远远眺望着人类的生活，\n随性地驱使惠风，恣意歌唱。
69,无法使用人类语言的\n提亚马特有意和人类居所保持距离，\n不在居民面前现身。
68,────
67,衣服很快就能干啦~
66,风车转的很欢，\n工作也要加把劲！
65,提亚马特在波特普利兹群岛\n落脚后，大概过了\n人类成人所需的时间。
64,啊，今天也是风不错的一天~！
59,任性过后的提亚马特\n被这里清新的空气所吸引，\n决定留在波特普利兹群岛。
58,────
53,在宽阔的高地与群岛\n之间恣意来回飞翔的\n提亚马特心情十分舒畅。
52,波特普利兹本事晴天居多，\n气候平稳的群岛。
46,…………
45,惠风啊……\n赶紧上工吧
44,哎？\n今天的风儿比往常要喧嚣。
42,────
41,现如今，掌管风之力的星晶兽\n提亚马特漂流到了\n波特普利兹群岛。
40,……──
39,霸空战争后，失去了\n武器功能的星晶兽们散落在了\n空之世界的各处。
29,这些，我也想让你们看看──
24,守护着这些的路西菲尔\n和科斯莫斯的故事……
23,被星星遗忘的星晶兽们\n以及空之世界的人们……
22,从那一刻起，世界上\n未被提及过的另一个历史。
21,……总之，科斯莫斯间接地\n以自己的意识干预\n空之世界的那一刻。
20,尤妮？\n你怎么了？
19,尤妮像是在困惑着什么，\n停止了说话。
18,但是，科斯莫斯……
17,祂只是俯瞰这世界，\n将天平倾斜至\n正确位置的存在而已。
16,调停之力并非是谁的敌人或是朋友。
15,嗯……是敌人？\n还是说是朋友……？
14,那，科斯莫斯为了除掉我们，\n还帮助了我们……
13,可是，把你们叫来\n这里的也是科斯莫斯。
12,制裁特异点的是\n科斯莫斯的调停之力……
11,尤妮向下看了看，\n向问问题的露莉亚点了点头。
10,从那以后科斯莫斯就……
9,当然霸空战争之后\n也一直见到了。
8,路西菲尔从\n2000年前开始\n就是天司了啊……
0-synopsis,霸空战争吼，星晶兽提亚马特<span class='scene-font-place'>漂流到了波特普利兹群岛</span>。<span class='scene-font-place'>在波特普利兹群岛</span>安顿下来的提亚马特，一边远远观望着人类的生活，一边随性地呼风来。这风也渐渐成了人们无法替代的日常生活。但是在骑空艇诞生，<span class='scene-font-place'>波特普利兹群岛</span>也因成为交易中心而繁荣之时，不知不觉，“这莫非是星晶兽的所作所为”的传言逐渐传开。
0-chapter_name,第二节 调停之现身
