id,trans
filename,scene_evt220228_cp6_q3_s10
info,scene_evt220228_cp6_q3_s10
160,不知何时，围绕着艾露玛和西尔芙，\n发展成了\n更大的纷争。
159,能信吗！\n你们这些独占\n西尔芙的家伙！
158,<span class='scene-font-4'>适可而止！</span>\n西尔芙不会做这种事！
157,你不仅散播艾露玛，\n是不是还在附近传播毒！？
156,资金我们附近不知\n为什么有疫情蔓延。
150,可是他需要。
149,<span class='scene-font-4'>西尔芙！</span>\n那人是外人，\n不能给他们灵药！
143,无论是什么样的人，只要他们来求\n西尔芙，西尔芙都会\n给他们。
142,你要我就给你，\n没有必要争斗。
136,也有想要买卖发财的商人。
130,有段时间，甚至有些\n盗贼盯上了灵药。
124,随着灵药的名声打响，\n麻烦事也接踵而至。
123,谢……谢谢！
122,你们要灵药？\n那我做给你们。
121,可是这个药是我们村上的……
120,很多人都因病十分痛苦。\n要是我们的村庄也有灵药的话……！
119,拜托你，请分我们\n一点灵药吧……！
113,自然而然，灵药艾露玛的\n名声也传到了\n附近村庄。
112,稍过一些时间，西尔芙\n住的村庄渐渐变大，\n繁荣了一些。
106,星晶兽真的\n是很厉害啊。
105,……是吗？
104,多亏了西尔芙。
103,还在回味刚刚发生了什么呢，\n真的太好了。
102,看上去就\n已经恢复了。
101,爷爷，这么快出去走没关系吗？
99,老人喝了西尔芙\n给的灵药艾露玛，\n很快便恢复了。
98,嗯。
97,谢谢你。
96,爷爷，\n倒好了。
90,加上我认为\n西尔芙也没打算\n对爷爷做坏事。
89,已经没有其他办法了。
88,没，没关系吗？
87,……让他喝了吧
86,村民们看看西尔芙拿出的灵药，\n又看看\n床上虚弱的老人。
85,喝下去\n爷爷的病就能好。
84,星晶兽的药啊……
83,嗯。我做的。
82,没听说过这种药……\n这是你做的药吗？
81,灵药艾露玛。\n用这个可以治好人类的病。
80,这是什么……？
79,这个。
70,唉？在哪里……
69,药是有的。
68,可是就算还有药，\n也不起作用了吧。
67,要怎么办。\n已经没有药了
66,生病了。一直有点病，\n最近突然恶化了……
65,爷爷你怎么了？\n最近一直睡着。
64,这……可不妙啊。
63,在朴素的床上躺着\n一位看上去昏昏沉沉的老人，\n老人重复着沉重的呼吸。
62,唔……唔……
56,<span class='scene-font-4'>不好了！</span>\n大家快来，我爷爷他……！
54,嗯，没关系。
53,当心别伤到了手哦。
52,嗯，拜托啦，\n用来生火。
51,把这捆木头……\n搬回家里？
50,就这样，有着\n少女容貌的星晶兽开始了\n和村民们的生活。
44,哈哈哈，\n那就请便吧。
43,和你们在一起……\n可以。
42,是啊，就这样吧，\n我们也不能放着你\n一个女孩子不管。
41,要不然……\n你来我们村子吧？
40,村民们听了西尔芙说的话\n面面相觑。
39,我在找不是\n一个人的地方。
38,你是准备\n去哪里吗？
37,魔物倒没事。
36,附近的森林里经常有魔物出现。
35,唔，说是星晶兽，\n但是就这么女孩子一个人\n乱晃是很危险的哦。
29,喂，\n其实这个孩子是
28,喂，怎么了？
26,"因为是模仿人类做出来的。 "
25,表面上还是个\n小小的女孩子啊。
24,所以这边的住民\n对于被当成兵器星晶兽\n没有什么恐惧感。
23,西尔芙所处的岛屿\n位于霸空战争前线\n很远的地方。
22,我知道那个……
21,<span class='scene-font-spword'>星之民</span>制作出来的兽。
20,星晶兽………？
19,我没有爸爸妈妈。\n我是星晶兽。
18,…………?
17,那可太糟了……！\n你有没有爸爸妈妈？
16,一个人。\n被抛弃了。
15,小姐你怎么了？\n只有你一个人吗？
14,从森林中出来的星晶兽\n来到了一个小集落。
13,有人。
11,哎？
5,星晶兽无法感受到心中\n填满的寂寞，在岛与岛\n之间徘徊着。
4,不想……呆在这里。
3,为什么……\n只有一个人。
2,在某座岛屿的森林深处，\n有一被星之民抛弃的星晶兽。
1,没有……
0-synopsis,在某座岛屿的森林中。被星之民抛弃的星晶兽西尔芙和小村中的人们一起生活着。起初生活平稳，村子也渐渐繁荣起来。随着西尔芙制作的灵药艾露玛被人广为知晓，争斗也逐渐增多起来
0-chapter_name,第二节 调停之现身
