id,trans
filename,scene_evt220228_cp6_q4_s10
translator,灯泡马
info,scene_evt220228_cp6_q4_s10
87,就这样，纷争停息后的菲德拉赫\n接受着星晶兽的加护，\n逐渐繁荣下去。
86,…………
84,西尔芙大人，属下先行告退。
78,人们以和平为信仰，\n接受西尔芙的加护——灵药的\n恩惠。
73,拥有力量之人建立起国度，\n信奉西尔芙
68,不知过去了多久。
62,以你为象征的国家，\n你就可以人包围，\n被人热爱地生活下去。
61,对等……
60,艾露玛应该对等得地给予，\n作为信仰\n你的和平之国的住民。
59,像现在这样，无论何者，\n无条件地给予他们灵药，\n就会造成人无尽的欲望。
58,信仰，和平……
57,把你生出灵药之前的存在\n作为信仰的对象，\n成为和平的象征。
56,没有必要一点不做。\n但是要适量。
55,再也不做灵药？
54,你想要待在这\n那就在这吧。
53,西尔芙低下头仔细思考，\n科斯莫斯眼睛眯成了一条缝。
52,可是……\n这里人很多，\n我在这里就不再是一个人。
51,是，啊……
50,可是只要没有纷争，\n就不会有像现在一样，\n出现更多的人受伤。
49,……你好狡猾。要是我不在了，\n也不能制作灵药了。
48,那要不然你消失？
47,要是没有灵药，\n大家都会死去。
46,你从这座岛上消失。\n或者停止制作灵药。
45,想要阻止战争，\n你必须做出选择。
44,知道了。
43,看到人减少……\n胸口这边有点痛。
42,……我认为不好。\n有很多人受伤倒下。\n灵药跟不上了。
41,你对这座岛上的\n由自己引起的纷争做何感想？
40,星晶兽科斯莫斯，\n找我有何事？
39,啊，是啊。
38,我第一次碰到星晶兽。\n在这里出了我之外只有人类。
37,……科斯莫斯。\n本质上有不同，但我和你一样，\n是星晶兽。
36,你是谁？
35,接着西尔芙出现在了\n科斯莫斯面前。
34,星晶兽西尔芙。
24,把西尔芙……？
23,科斯莫斯毫无表情的脸上，\n掺杂进了一丝忧虑。
22,原因……
21,那你准备根除原因？
20,火种对人类和空之世界来说，还\n是过于奇特的星晶兽之力。
19,…………
18,科斯莫斯，你准备怎么办？
17,这样下去，\n纷争不会结束的。
16,可西尔芙自身\n好像没有意识到这个问题……
15,周围凶事四起，\n恐怕是由于灵药生成过多，\n造成的恶果。
14,啊啊，恐怕如此。
13,但是，艾露玛怎么\n也不应该是能够无条件无限\n再生之物。
12,啊。\n西尔芙的力量本来是能够治愈人\n的温柔之力……
11,对人来说，星晶兽的力量\n还是过于强大。不仅仅是\n作为兵器的破坏力。
10,逃过霸空战争战火的美丽小岛\n上空，战吼响彻，\n令人痛心。
9,这座岛上战争也……
3,不知何时，战火\n蔓延整座岛屿。
2,一定要夺走西尔芙！\n决不允许他们独占艾露玛！
1,不必恐惧！踏踏开！\n就算受伤了我们还要艾露玛！！
0-synopsis,注视着西尔芙和岛屿的路西菲尔和科斯莫斯。西尔芙的力量带来了灾厄，路西菲尔向科斯莫斯询问是排除西尔芙或是其他。但是科斯莫斯显示出了意思忧虑。最后，西尔芙告知了科斯莫斯自己想要留在这里的愿望，科斯莫斯提议让西尔芙控制自己生成灵药的能力，将自己变成信仰。于是信奉西尔芙的国度，菲德拉赫诞生了
