id,trans
filename,scene_evt220228_cp7_q3_s10
translator,IInsli
info,scene_evt220228_cp7_q3_s10
81,调停……\n调停啊……我不清楚……
80,……你是觉得\n必须调停目前的状况\n是这么认为的吗？
79,他们的呻吟尖叫，也不会停止……
78,因此，他们的苦痛\n便永远得不到终结。
77,空之民他们很难破坏到\n不灭星晶兽的核心本体……
70,呃呃……呃呃呃啊啊……！
66,不要忘记……\n终焉有谁能躲过……
62,咕撒哇啊呜呜呜！！
55,弱肉强食嘛……\n遵循自然之律的安排，你可以这么说……
54,蕴含着星晶兽之力的强力武器\n是他们梦寐以求的装备。
53,骑空士们操控骑空艇，\n在辽阔的空域里闯荡，\n期间会遇到不少危险。
52,都是那些用星晶兽肉体部分\n作为素材制作武器的人……。
51,最近，诸如此类的星晶兽\n狩猎活动有增无减……
50,真让人看不下去了……
49,…………
42,好的！\n上吧！！
41,呀嗝啊啊啊啊……！
34,就是现在！\n将他困起来！！
33,呀，啊啊……！
32,我们尽可能多收一点\n多收一点是一点。
31,我们为了这趟危险工作\n还特意花了不少人力物力呢。
30,明白啦明白啦！\n目标是，不伤及核心的前提下\n收割他的素材，对吧？
29,就是这样！\n又减弱了不少！\n尽量避开其核心！
28,咕嗝啊啊啊哈啊！！
21,就会出现\n与修瓦利耶之力\n完美契合的契约者。
20,然后，总有一天……
19,再者……空之民那边\n也会发生变化。
18,修瓦利耶的力量，\n是有可能适应空之世界和空之民，\n从而发生质变的。
17,"假以时日，在修瓦利耶她身上\n也会发生某种变化也不一定。 "
16,（比如霸空战争进行到尾声，\n不少的星晶兽的阵营\n都切换到空之世界那边去……）
15,例如，提亚马特的力量\n在跟岛屿建立契约以后\n有增无减这样的事。
14,科斯莫斯，妳也看的出来吧。
13,本来，星晶兽是不变的存在。\n不过，就这个空之世界而言\n情况并非如此。
12,为何？
11,也许事情不是你想的这样。
10,……不对，刚才\n我胡言乱语了。
9,科斯莫斯的侧脸\n浮现出复杂的神色\n视线从附近躲开，眺向远方。
8,尽管与每个契约者相处的时间相当短暂，\n能与人直接接触，\n以前的契约更好些……
7,要是所谓的修瓦利耶之心\n真实存在的话，\n那么如今的契约是她真实的愿望吗……
6,那个人所说的那个\n「修瓦利耶之心」。
5,人，星晶兽，还有岛屿……\n将所有这些联合一起的共生契约\n只不过……
4,嗯，这正是我担忧的地方。
3,是修瓦利耶\n<span class='scene-font-place'>和阿尔比昂</span>的事吗？\n何事让妳不安呢？
2,……这样下去好吗……
0-synopsis,日复一日科斯莫斯逐渐开始为自己调停的正当性而苦恼。期间，骑空士们为寻求强力武器而开始增加对星晶兽的狩猎活动。星晶兽的核心又难以被空之民所摧毁，因此星晶兽无法被消灭而得去继续活活受罪。见状路西菲尔向见证着苦难的科斯莫斯问道，“此等状况是否有必要去调停？” 科斯莫斯却找不出答案。
0-chapter_name,第三话 纠结摇摆的心
